h,e,a,d,i,n,g,_,r,o,w
"['EUW1_6957559354', 2, 25, 17, 0, 0, 0, 0, 12, 0, 356, 57, 30238, 31557, 36541, 4, 31, 16, 1, 1, 2, 0, 5, 379, 105, 30625, 31246, 37783, 0]"
"['EUW1_6957524793', 2, 30, 6, 0, 0, 0, 0, 8, 0, 341, 72, 24213, 28276, 29517, 12, 38, 21, 1, 0, 1, 0, 2, 402, 95, 33057, 34973, 46459, 0]"
"['EUW1_6956756057', 3, 28, 11, 0, 0, 1, 0, 7, 0, 394, 81, 28227, 32024, 35409, 3, 34, 11, 2, 0, 1, 0, 4, 403, 110, 28173, 32197, 29257, 0]"
"['EUW1_6956567315', 2, 36, 11, 1, 0, 0, 0, 10, 0, 392, 80, 27850, 31753, 33983, 4, 23, 10, 0, 0, 1, 0, 1, 382, 132, 28364, 32361, 36662, 0]"
"['EUW1_6956552070', 7, 33, 12, 0, 0, 1, 0, 10, 1, 383, 75, 28604, 29566, 26958, 8, 32, 17, 2, 0, 3, 0, 5, 354, 119, 31928, 31430, 37580, 0]"
"['EUW1_6956533866', 8, 30, 12, 0, 0, 1, 0, 9, 1, 368, 72, 26898, 29649, 31379, 3, 22, 10, 2, 0, 1, 0, 1, 379, 100, 28215, 29953, 30857, 1]"
"['EUW1_6956504918', 4, 30, 7, 1, 0, 1, 0, 12, 0, 391, 75, 25837, 29437, 28402, 5, 33, 13, 1, 0, 1, 0, 4, 348, 97, 28530, 30769, 31407, 0]"
"['EUW1_6956470791', 3, 41, 12, 1, 0, 1, 0, 7, 1, 360, 100, 27887, 32358, 32979, 4, 28, 12, 1, 0, 0, 0, 5, 343, 103, 27905, 30834, 34768, 0]"
"['EUW1_6956147626', 3, 31, 12, 1, 0, 3, 0, 7, 1, 416, 109, 30707, 33663, 35437, 2, 36, 4, 0, 0, 0, 0, 9, 370, 97, 24314, 29829, 27945, 1]"
"['EUW1_6956102324', 5, 27, 11, 0, 0, 0, 0, 4, 1, 412, 81, 28191, 31265, 30543, 2, 33, 5, 2, 0, 0, 0, 4, 340, 114, 23244, 29599, 25384, 1]"
"['EUW1_6956045350', 5, 171, 11, 0, 0, 0, 0, 8, 1, 357, 80, 26344, 28532, 29305, 8, 40, 17, 2, 1, 1, 0, 0, 378, 125, 31809, 32877, 40101, 0]"
"['EUW1_6956003311', 5, 29, 7, 0, 0, 2, 0, 7, 0, 351, 83, 27335, 30945, 31900, 4, 29, 20, 2, 0, 3, 0, 5, 410, 104, 32959, 33876, 41361, 0]"
"['EUW1_6955973775', 9, 28, 13, 1, 0, 2, 0, 5, 1, 397, 86, 30503, 30321, 31405, 7, 30, 18, 0, 0, 0, 0, 7, 337, 77, 29120, 28350, 39358, 1]"
"['EUW1_6955950645', 5, 33, 9, 1, 0, 0, 0, 12, 1, 323, 93, 24367, 27326, 29407, 8, 32, 17, 1, 0, 4, 0, 0, 415, 86, 33710, 31966, 35144, 0]"
